time,arb_id,data_hex,alert_type,detail
1772062242.097968,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=325 thresh=80
1772062242.103301,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=326 thresh=80
1772062242.1088774,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=327 thresh=80
1772062242.1131022,0x100,0a00000000000000,FREQ_ANOMALY,count_in_2.0s=328 thresh=80
1772062242.114101,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=329 thresh=80
1772062242.1161234,0x200,0001020304050607,,
1772062242.119298,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=330 thresh=80
1772062242.1245282,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=331 thresh=80
1772062242.1301703,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=332 thresh=80
1772062242.135722,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=333 thresh=80
1772062242.1412776,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=333 thresh=80
1772062242.146865,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=334 thresh=80
1772062242.1520169,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=335 thresh=80
1772062242.1576033,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=336 thresh=80
1772062242.1632397,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=337 thresh=80
1772062242.164154,0x100,0a00000000000000,FREQ_ANOMALY,count_in_2.0s=338 thresh=80
1772062242.1688156,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=339 thresh=80
1772062242.1743746,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=340 thresh=80
1772062242.1796014,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=341 thresh=80
1772062242.1811476,0x300,0101010101010101,,
1772062242.1848881,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=342 thresh=80
1772062242.1900575,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=342 thresh=80
1772062242.195628,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=343 thresh=80
1772062242.2027316,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=344 thresh=80
1772062242.2078884,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=345 thresh=80
1772062242.2131472,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=346 thresh=80
1772062242.2148502,0x100,0a00000000000000,FREQ_ANOMALY,count_in_2.0s=347 thresh=80
1772062242.2166057,0x200,0001020304050607,,
1772062242.218737,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=348 thresh=80
1772062242.224319,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=349 thresh=80
1772062242.229665,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=350 thresh=80
1772062242.2348306,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=351 thresh=80
1772062242.2404099,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=352 thresh=80
1772062242.2459826,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=352 thresh=80
1772062242.251144,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=353 thresh=80
1772062242.2564142,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=354 thresh=80
1772062242.2617614,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=355 thresh=80
1772062242.2659352,0x100,0a00000000000000,FREQ_ANOMALY,count_in_2.0s=356 thresh=80
1772062242.2669399,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=357 thresh=80
1772062242.2725694,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=358 thresh=80
1772062242.2782087,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=359 thresh=80
1772062242.2837605,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=360 thresh=80
1772062242.2891402,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=361 thresh=80
1772062242.2946038,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=361 thresh=80
1772062242.2997012,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=362 thresh=80
1772062242.3052251,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=363 thresh=80
1772062242.3104334,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=364 thresh=80
1772062242.3157043,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=365 thresh=80
1772062242.3167667,0x100,0a00000000000000,FREQ_ANOMALY,count_in_2.0s=366 thresh=80
1772062242.3169045,0x200,0001020304050607,,
1772062242.3210497,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=367 thresh=80
1772062242.3267274,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=368 thresh=80
1772062242.3324063,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=369 thresh=80
1772062242.3379414,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=370 thresh=80
1772062242.3429918,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=370 thresh=80
1772062242.348073,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=371 thresh=80
1772062242.3532393,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=372 thresh=80
1772062242.3583908,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=373 thresh=80
1772062242.3636756,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=374 thresh=80
1772062242.3673232,0x100,0a00000000000000,FREQ_ANOMALY,count_in_2.0s=375 thresh=80
1772062242.3688395,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=376 thresh=80
1772062242.374415,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=377 thresh=80
1772062242.3795018,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=378 thresh=80
1772062242.3826127,0x300,0101010101010101,,
1772062242.3846092,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=379 thresh=80
1772062242.390351,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=380 thresh=80
1772062242.3959794,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=380 thresh=80
1772062242.4014468,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=381 thresh=80
1772062242.4070277,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=382 thresh=80
1772062242.4122088,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=383 thresh=80
1772062242.4174,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=384 thresh=80
